tensor(22.2827, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.0047, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.7745, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.9604, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.5084, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.5263, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.9864, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.0759, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.0648, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.6832, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.4844, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.5690, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.5521, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.3016, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.6678, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.3736, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.8016, device='cuda:0', grad_fn=<NegBackward0>)
tensor(23.4170, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.7179, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.6862, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.1224, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.3158, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.7082, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.6426, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.1511, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.3563, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.6045, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.2112, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.2929, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.9557, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.3373, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.4037, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.9477, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.8946, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.4710, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.6652, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.2160, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.4286, device='cuda:0', grad_fn=<NegBackward0>)
tensor(23.3495, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.5278, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.4683, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.9990, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.9016, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.7420, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.2121, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.9305, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.3856, device='cuda:0', grad_fn=<NegBackward0>)
