tensor(22.7330, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.1138, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.5068, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.4196, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.6218, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.0532, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.7400, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.0891, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.3856, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.2140, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.2248, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.8337, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.4259, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.0256, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.0123, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.2390, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.1370, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.8224, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.7682, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.1165, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.5300, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.1635, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.4776, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.6176, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.9192, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.9603, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.9581, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.7644, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.6717, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.1686, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.4604, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.8873, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.9421, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.1009, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.6707, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.6262, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.6414, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.4022, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.8886, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.1227, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.3640, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.6446, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.2161, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.8788, device='cuda:0', grad_fn=<NegBackward>)
